,Vmag,Plx,e_Plx,B-V,SpType
0, 9.10,   3.54,  1.39, 0.482,F5
1, 9.27,  21.90,  3.10, 0.999,K3V
2, 6.61,   2.81,  0.63,-0.019,B9
3, 8.06,   7.75,  0.97, 0.370,F0V
4, 8.55,   2.87,  1.11, 0.902,G8III
5,12.31,  18.80,  4.99, 1.336,M0V:
6, 9.64,  17.74,  1.30, 0.740,G0
7, 9.05,   5.17,  1.95, 1.102,M6e-M8.5e Tc
8, 8.59,   4.81,  0.99, 1.067,G5
9, 8.59,  10.76,  1.10, 0.489,F6V
10, 7.34,   4.29,  0.84, 0.081,A2
11, 8.43,   4.06,  1.16, 1.484,K4III
12, 8.80,   3.49,  1.48, 1.128,K0III
13, 7.25,   5.11,  0.99, 1.200,K0
14, 8.60,   2.45,  1.16, 1.166,K2
15, 8.15,   6.15,  1.00, 0.425,F3V
16,11.71,   0.53,  2.63, 0.421,
17,11.03,  19.93,  2.36, 1.567,K5
18, 6.53,   4.12,  0.64, 0.955,G5
19, 8.51,  10.76,  1.06, 0.516,G0
20, 7.55,   5.84,  0.95, 1.438,K2
21, 8.69,   4.47,  1.15, 0.962,G8/K0III/IV
22, 7.57,  12.21,  0.95, 0.456,F2V
23, 9.05,   9.73,  1.21, 0.528,G0V
24, 6.28,  13.74,  0.98, 0.763,G3IV
25, 9.13,   9.19,  1.34, 0.535,F7V
26, 9.32,   9.66,  1.38, 0.671,G5V
27, 8.83,   5.64,  1.05, 0.468,F3/F5V
28, 9.14,   2.85,  1.40, 1.041,G8III
29, 8.26,   3.79,  0.88, 0.142,A0
30, 7.63,   1.84,  1.05, 1.453,K2
31, 9.09,   3.10,  1.29, 0.040,B8
32, 8.10,   8.94,  1.09, 0.466,F2
33, 6.43,  12.71,  0.74, 0.514,F7.5IV-V
34, 9.07,   5.96,  1.45, 0.916,G8/K0III/IV
35, 7.68,   6.30,  0.96, 1.150,K0
36,10.44,   3.74,  2.72, 0.391,F0V
37, 8.65,  23.84,  0.78, 0.778,G6V
38, 7.46,  10.98,  1.18, 0.475,F3V
39, 8.70,   3.42,  1.04, 0.026,A0
40,10.61,  -3.40,  4.25, 0.570,B...
41, 8.20,   6.38,  0.91, 0.387,F2
42, 6.18,   7.63,  0.60, 1.032,G9III-IV
43, 7.91,   2.41,  1.01, 1.104,K2
44, 9.59,  15.10,  1.92,      ,G6/G8V:
45, 8.57,   1.19,  1.20, 1.035,K1III
46,10.78,  24.45,  1.97, 1.150,K3V
47, 7.31,   1.86,  0.87, 1.164,K0/K1III
48, 9.53,   1.59,  1.28, 0.450,F5
49, 6.49,  16.89,  0.80, 0.616,G1IV
50, 8.94,   0.41,  1.30, 0.906,K0
51, 8.56,   3.95,  0.77, 0.196,A4V
52,10.96,  -1.76,  2.45,      ,
53,10.57,  20.97,  1.71, 1.030,M:
54, 7.40,  14.66,  0.98, 0.551,G2IV/V
55, 8.12,   3.47,  1.27, 1.329,K0
56, 8.27,  33.89,  0.79, 0.863,K2V
57, 7.05,  26.06,  0.67, 0.520,G0
58, 9.09,  -0.06,  1.38, 0.091,B5
59, 8.34,   6.18,  0.83, 0.386,F2IV
60, 8.86,   5.60,  1.11, 1.081,K5
61, 8.27,   5.28,  1.15, 0.994,G8III
62, 6.36,   4.81,  0.71,-0.047,B9p SiEu
63, 8.08,   3.45,  0.94, 1.156,K2III
64,11.00,  16.98,  2.43, 1.147,
65, 8.55,   8.18,  0.88, 0.401,F2V
66, 7.83,   7.48,  0.93, 0.495,F5
67, 8.79,  31.80,  1.17, 0.940,K0
68, 8.33,   6.35,  1.12, 0.135,A0
69,10.42,   5.25, 13.87, 0.706,
70, 8.26,   9.13,  1.84, 0.846,G5
71, 8.97,  10.63,  1.25, 0.671,G3/G5V
72, 6.90,   3.97,  0.69, 1.446,K2
73, 9.93,  24.22,  1.36, 1.068,K5
74, 7.42,   1.60,  0.79, 1.524,K4III
75, 9.03,   2.29,  1.19, 1.670,M0
76, 8.41,   3.53,  1.12, 0.022,A0V
77, 8.06,   1.17,  0.96, 1.203,K0
78, 8.69,   4.57,  0.99, 0.529,F5
79, 8.40,  15.59,  1.43, 0.566,G2V
80, 8.57,  23.43,  1.28, 0.642,G5
81, 9.50,   1.82,  1.37, 1.107,G5
82, 8.85,   2.28,  1.30, 1.726,M0
83, 9.61,  18.90,  1.33, 0.852,K0
84,10.62,   3.90,  2.06, 0.359,A2
85, 8.05,   3.47,  0.78, 0.018,B9
86, 7.80,   4.52,  1.08, 0.430,F5
87, 5.71,   5.97,  0.70, 0.911,G8III
88, 7.87,   2.60,  0.96, 1.566,K2
89, 7.64,   9.35,  0.92, 0.500,F5IV/V
90, 7.66,   4.21,  1.23, 1.300,K0
91, 8.68,   4.77,  1.44, 0.944,G8III
92, 8.12,  16.74,  1.28, 0.619,F8V
93,10.10,  10.48,  1.48, 0.644,G2
94, 8.67,   7.85,  1.17, 0.513,F5V
95,10.46,  19.83,  5.16, 1.360,M0
96, 9.87,   6.49,  1.44, 0.551,F6/F7V
97, 9.48,   5.52,  1.74, 0.530,F5V
98, 7.04,   1.27,  0.70, 2.835,C5p
99, 8.44,   4.49,  1.08, 0.898,G0
100, 9.88,   7.35,  1.74, 0.509,F5IV/V
101, 7.05,   3.00,  0.82, 1.550,M1III
102, 8.29,   9.15,  0.76, 0.538,F6V
103, 9.34,   8.16,  1.21, 0.543,F7V
104, 7.73,   4.44,  0.75, 0.455,F0
105, 6.22,   4.50,  0.73, 0.970,G7II-III
106, 5.53,   5.84,  0.61, 1.615,M2III
107, 8.53,   0.30,  0.86, 1.315,K3II/III
108, 7.23,   5.33,  0.94, 0.388,F0
109, 8.61,  20.42,  1.91, 0.787,G5
110,11.28,  27.11,  2.33, 1.308,M2
111,10.76,  31.35,  4.17, 1.384,M1.5V:
112, 8.93,   0.27,  1.09, 0.021,A0
113, 7.95,   9.93,  1.95, 0.654,G0IV
114, 7.46,   4.73,  0.67, 0.160,A2IV
115, 8.60,   8.29,  0.97, 0.435,F3V
116, 8.55,   0.36,  0.87, 1.093,G8III
117, 9.20,  12.08,  1.33, 0.606,G0
118, 6.82,   7.49,  0.83, 1.071,K0
119, 8.29,   2.83,  1.09, 1.183,K1IIICNIV
120, 6.83,   3.66,  0.83, 1.197,K2III
121, 4.78,  14.77,  0.47, 1.254,K2III
122, 7.21,   5.07,  0.70, 1.169,K0
123, 5.58,   0.86,  0.56, 0.407,F0III
124, 8.70,   5.08,  1.06, 0.366,F2V
125, 8.06,   2.94,  0.95, 0.969,G5
126,10.86,  11.27,  2.15, 0.942,
127, 6.50,  15.20,  0.63, 0.182,Am...
128, 9.32,   6.60,  1.30, 0.559,F8
129, 9.14,   2.93,  1.38, 1.080,K0III
130, 8.13,   8.11,  0.83, 0.200,A4V
131,10.62,   1.89,  1.91, 0.358,F0
132, 6.62,   3.51,  0.79, 0.545,F5IV
133, 9.96,   1.30,  1.71, 0.264,A0
134, 8.64,  20.10,  1.22, 0.620,G5
135, 6.60,   5.84,  0.78, 1.153,K2III-IV
136, 6.25,   2.45,  0.69,-0.042,B9IIIp Mn
137, 7.83,   6.34,  1.89, 1.074,K0/K1IV
138,10.03,   1.62,  1.45, 1.289,B0
139, 9.04,   8.98,  0.93, 0.546,F7V
140, 8.47,   5.61,  1.10, 1.350,K5
141, 7.33,  16.04,  0.69, 0.730,K0
142, 8.66,   3.57,  0.75, 1.364,K5
143,10.35,  20.05,  1.64, 1.033,K3
144, 5.13,   7.98,  0.71,-0.128,B7III-IV
145, 8.96,   4.39,  1.29, 0.306,A9V
146, 8.49,  -0.13,  1.19, 1.569,K5
147,11.26,  22.92,  2.17, 0.932,K3
148, 8.15,   4.22,  0.96, 0.584,F8
149, 7.04,   7.50,  0.84, 1.060,K1III
150,10.02,   5.10,  1.42, 0.456,F5
151, 8.90,   5.54,  1.23, 0.459,F8
152, 7.78,   7.56,  1.37, 0.411,F3IV...
153, 4.37,   7.86,  0.94, 1.631,M3III
154, 9.93,   2.28,  1.39, 0.283,A2
155, 8.60,   3.09,  0.84, 0.100,B8V
156, 8.51,   6.87,  1.28, 0.903,G5
157, 7.09,   7.03,  0.89, 0.999,K0III
158, 6.93,  16.92,  0.81, 0.292,A3
159, 8.68,   2.07,  0.80,-0.052,B9V
160, 8.98,   2.38,  1.09, 1.500,K5
161, 9.84,   2.71,  1.33, 0.696,G0
162, 8.98,   2.92,  1.26, 0.107,A3V
163, 7.98,   4.41,  0.82, 0.970,G9III
164,10.16,  -0.59,  1.74, 0.450,Ap...
165, 8.86,   9.46,  1.18, 0.660,G3V
166, 8.58,   3.50,  0.90, 0.060,B9
167, 9.56,   1.95,  1.34, 1.113,R...
168, 9.24,  63.03,  1.98, 1.390,M0V
169, 9.63,   5.96,  2.02, 0.509,F5V
170, 5.80,  80.63,  3.03, 0.690,G3V
171, 9.05,   1.27,  1.11, 0.976,O7
172, 8.45,   1.31,  1.03, 0.248,A2
173, 8.86,   3.89,  1.83, 1.035,G9II-III
174, 7.84,   3.98,  0.87, 0.923,G5
175, 8.86,   3.82,  1.07, 0.530,K0
176, 8.93,   5.47,  1.25, 0.172,A1m...
177, 7.97,   9.02,  2.50, 0.556,F7V
178, 6.90,  14.91,  0.90, 0.534,G0V
179, 8.47,   2.80,  1.12, 1.171,K0
180, 6.77,   2.51,  0.64, 1.832,M0
